word,index
accord,0
gran,1
compani,2
plan,3
move,4
product,5
russia,6
although,7
grow,8
technopoli,9
develop,10
stage,11
area,12
less,13
100000,14
squar,15
meter,16
order,17
host,18
work,19
comput,20
technolog,21
telecommun,22
statement,23
said,24
intern,25
electron,26
industri,27
elcoteq,28
laid,29
ten,30
employe,31
tallinn,32
facil,33
contrari,34
earlier,35
layoff,36
contract,37
rank,38
offic,39
worker,40
daili,41
postime,42
report,43
new,44
plant,45
would,46
increas,47
capac,48
meet,49
expect,50
demand,51
improv,52
use,53
raw,54
materi,55
therefor,56
profit,57
updat,58
strategi,59
year,60
20092012,61
baswar,62
target,63
longterm,64
net,65
sale,66
growth,67
rang,68
20,69
40,70
oper,71
margin,72
10,73
financ,74
aspocomp,75
aggress,76
pursu,77
increasingli,78
focus,79
hdi,80
print,81
circuit,82
board,83
pcb,84
last,85
quarter,86
2010,87
componenta,88
doubl,89
eur131m,90
eur76m,91
period,92
zero,93
pretax,94
loss,95
eur7m,96
third,97
52,98
eur,99
2055,100
mn,101
349,102
235,103
rose,104
131,105
87,106
correspond,107
2007,108
repres,109
77,110
total,111
211,112
186,113
97,114
teliasonera,115
tlsn,116
offer,117
line,118
ownership,119
core,120
busi,121
hold,122
strengthen,123
eesti,124
telekom,125
custom,126
stora,127
enso,128
norsk,129
skog,130
mreal,131
upmkymmen,132
credit,133
suiss,134
first,135
boston,136
cfsb,137
rais,138
fair,139
valu,140
share,141
four,142
largest,143
nordic,144
forestri,145
group,146
purchas,147
agreement,148
7200,149
ton,150
gasolin,151
deliveri,152
hamina,153
termin,154
finland,155
sign,156
nest,157
oil,158
oyj,159
averag,160
platt,161
index,162
septemb,163
plu,164
eight,165
us,166
dollar,167
per,168
month,169
finnish,170
talentum,171
205,172
2005,173
93,174
2004,175
1033,176
964,177
cloth,178
retail,179
chain,180
seppaela,181
8,182
1552,183
311,184
171,185
consolid,186
16,187
reach,188
eur74,189
amount,190
eur0,191
9,192
compar,193
7,194
prior,195
foundri,196
divis,197
631,198
575,199
2006,200
machin,201
shop,202
164,203
412,204
354,205
helsinki,206
afx,207
close,208
higher,209
led,210
nokia,211
announc,212
team,213
sanyo,214
manufactur,215
3g,216
handset,217
nokian,218
tyre,219
fourthquart,220
earn,221
beat,222
analyst,223
dealer,224
incap,225
servic,226
pvt,227
ltd,228
subsidiari,229
corpor,230
revenu,231
20072008,232
director,233
propos,234
dividend,235
12,236
08,237
paid,238
2009,239
lifetre,240
found,241
2000,242
risen,243
late,244
30,245
filippova,246
trilater,247
invest,248
construct,249
park,250
st,251
petersburg,252
cours,253
forum,254
day,255
russian,256
economi,257
open,258
today,259
megafon,260
subscrib,261
base,262
161,263
505,264
million,265
user,266
decemb,267
31,268
market,269
number,270
24,271
23,272
2008,273
estim,274
incom,275
life,276
insur,277
68,278
32,279
nonlif,280
15,281
eur193,282
3,283
eur179,284
342,285
eur43,286
1,287
eur1,288
usd1,289
4,290
surg,291
185,292
eur167,293
telest,294
eur20,295
122,296
came,297
acquisit,298
made,299
nordea,300
18,301
percent,302
yearonyear,303
364,304
billion,305
euro,306
933,307
ninemonth,308
eur13,309
6,310
eur394,311
eur3,312
eur61,313
5,314
threemonth,315
2,316
brazilian,317
unit,318
secur,319
solut,320
provid,321
fsecur,322
1500,323
client,324
onlin,325
news,326
sourc,327
resel,328
web,329
quot,330
commerci,331
vladimir,332
brand_o,333
say,334
114,335
822,336
6865,337
138,338
lithuanian,339
beer,340
1441,341
liter,342
januari,343
rise,344
yearearli,345
figur,346
brewer,347
associ,348
cite,349
result,350
member,351
vike,352
cargo,353
54,354
2146,355
volum,356
70116,357
properti,358
portfolio,359
kapite,360
26862,361
12597,362
februari,363
2011,364
media,365
sanoma,366
hel,367
saa1v,368
yesterday,369
almost,370
tripl,371
eur297,372
eur107,373
payout,374
eliiv,375
ep,376
13,377
aspo,378
plc,379
stock,380
exchang,381
releas,382
11,383
at8,384
45,385
esl,386
ship,387
part,388
rautaruukki,389
marin,390
transport,391
baltic,392
sea,393
commiss,394
22,395
44,396
lend,397
135,398
traffic,399
measur,400
passeng,401
kilometr,402
rpk,403
went,404
avail,405
seat,406
ask,407
januaryseptemb,408
fiskar,409
14,410
654,411
5253,412
4877,413
165,414
140,415
226,416
152,417
nyrstar,418
also,419
agre,420
suppli,421
talvivaara,422
150000,423
tonn,424
sulphur,425
acid,426
annum,427
leach,428
process,429
zinc,430
concentr,431
depart,432
store,433
hobbi,434
hall,435
seppala,436
decreas,437
export,438
due,439
rate,440
partnership,441
siemen,442
network,443
biohit,444
healthcar,445
ukbas,446
public,447
liquid,448
handl,449
diagnost,450
test,451
system,452
alreadi,453
carri,454
lead,455
1417,456
book,457
stood,458
bln,459
242,460
pct,461
365,462
mln,463
5343,464
paper,465
main,466
includ,467
price,468
world,469
second,470
stainless,471
steel,472
maker,473
dec,474
euro603,475
781,476
euro3,477
33,478
431,479
euro172,480
euro0,481
94,482
previou,483
within,484
framework,485
initi,486
sitron,487
jsc,488
mikron,489
microelectron,490
compon,491
02,492
eur10,493
eur6,494
abroad,495
62,496
countri,497
well,498
ukrain,499
standard,500
charter,501
stan,502
ftse,503
100,504
royal,505
bank,506
scotland,507
rb,508
barclay,509
barc,510
bc,511
17,512
corp,513
thursday,514
cell,515
phone,516
thirdquart,517
global,518
financi,519
publish,520
friday,521
seb,522
soar,523
sek6,524
745,525
bn,526
sek1,527
50,528
meanwhil,529
request,530
alma,531
newspap,532
research,533
manag,534
jari,535
kaivooja,536
futur,537
centr,538
turku,539
school,540
econom,541
drawn,542
scenario,543
nation,544
model,545
univers,546
denver,547
sweden,548
gallerix,549
accumul,550
sek,551
denomin,552
support,553
fast,554
rout,555
applic,556
place,557
atria,558
expand,559
moscow,560
continu,561
theagreement,562
lemminkainen,563
wherebi,564
cramo,565
acquir,566
entir,567
fleet,568
oflemminkainen,569
talo,570
oy,571
ita,572
ja,573
pohjoi,574
suomo,575
asimilar,576
tatu,577
hauhio,578
ofcramo,579
envisag,580
three,581
ferryboat,582
option,583
two,584
confirm,585
500,586
6458,587
june,588
sold,589
stake,590
nordstjernan,591
taken,592
eqt,593
remain,594
kesko,595
28022008,596
0930,597
capit,598
kaukotelko,599
wholli,600
own,601
sponda,602
1545,603
syndic,604
oneyear,605
juli,606
subscript,607
warrant,608
119,609
850,610
program,611
cover,612
hdo,613
platform,614
ac800,615
cxe880,616
optic,617
fttb,618
node,619
design,620
forward,621
return,622
path,623
transmiss,624
electr,625
gener,626
350,627
megawatt,628
mw,629
heat,630
omx,631
25,632
092,633
251867,634
cap,635
091,636
471119,637
car,638
consider,639
influenc,640
tire,641
maximum,642
666104,643
exercis,644
b,645
issu,646
391630,647
1566520,648
real,649
estat,650
investor,651
wednesday,652
march,653
dansk,654
branch,655
7year,656
eur150m,657
ilmarinen,658
mutual,659
pension,660
eur50m,661
estonia,662
36,663
fell,664
synergi,665
scale,666
grimaldi,667
personnel,668
adjust,669
divest,670
redeliveri,671
excess,672
tonnag,673
rinkuskiai,674
181,675
137,676
kauno,677
alu,678
grew,679
143,680
960000,681
telecomworldwire7,682
april,683
2006tj,684
sell,685
morn,686
digit,687
tj,688
edita,689
718430,690
seri,691
becom,692
subject,693
trade,694
list,695
togeth,696
old,697
fuel,698
novemb,699
tiimari,700
194,701
six,702
turnov,703
765,704
focu,705
supplier,706
pipettor,707
dispos,708
tip,709
vwr,710
throughout,711
europ,712
combin,713
enabl,714
complex,715
limit,716
port,717
connect,718
get,719
access,720
wide,721
mediterranean,722
africa,723
north,724
america,725
uwe,726
bakosch,727
blindspot,728
come,729
vantag,730
point,731
allow,732
investig,733
see,734
whole,735
stori,736
high,737
resolut,738
unbroken,739
video,740
still,741
slightli,742
level,743
ad,744
predict,745
poor,746
trustworthi,747
forecast,748
current,749
